INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,longitude,latitude,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
2009616367.0,2009616367544100,5441,0,traffic-accident,traffic-accident,2009-10-24 15:36:00,,2009-10-24 15:36:00,W 23RD AVE / N BRYANT ST,3135199.0,1698862.0,-105.0191658,39.751199,1,121,jefferson-park
2010140655.0,2010140655544100,5441,0,traffic-accident,traffic-accident,2010-03-26 05:29:59,,2010-03-26 06:27:00,I70 HWYEB / N PEORIA ST,3183537.0,1707472.0,-104.8470371,39.7740066,5,511,stapleton
2010140660.0,2010140660544100,5441,0,traffic-accident,traffic-accident,2010-03-26 05:45:00,,2010-03-26 06:11:59,I70 HWYEB / N PEORIA ST,3183537.0,1707472.0,-104.8470371,39.7740066,5,511,stapleton
2010201587.0,2010201587544100,5441,0,traffic-accident,traffic-accident,2010-04-29 15:04:59,,2010-04-29 15:53:59,E HAMPDEN AVE / S GLENCOE ST,3161579.0,1663265.0,-104.9261475,39.6530572,3,323,southmoor-park
2010201606.0,2010201606544100,5441,0,traffic-accident,traffic-accident,2010-04-29 15:13:00,,2010-04-29 15:52:00,15TH ST / BOULDER ST,3137251.0,1701499.0,-105.0118176,39.7584079,1,113,highland
2010201637.0,2010201637540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-29 15:31:59,,2010-04-29 16:06:59,,3166363.0,1704310.0,-104.9082079,39.7656495,2,221,northeast-park-hill
2010201643.0,2010201643544100,5441,0,traffic-accident,traffic-accident,2010-04-29 15:34:59,,2010-04-29 15:52:00,E 14TH AVE / N YORK ST,3151925.0,1694289.0,-104.9597779,39.7383872,6,622,cheesman-park
2010201650.0,2010201650544100,5441,0,traffic-accident,traffic-accident,2010-04-29 15:34:59,,2010-04-29 15:36:59,400 BLK S SANTA FE DR,3141752.0,1683347.0,-104.9961666,39.7085098,3,311,baker
2010201655.0,2010201655544100,5441,0,traffic-accident,traffic-accident,2010-04-29 15:40:00,,2010-04-29 15:40:00,I25 HWYSB / N SPEER BLVD,3136947.0,1700330.0,-105.0129212,39.7552033,1,121,jefferson-park
2010201666.0,2010201666544100,5441,0,traffic-accident,traffic-accident,2010-04-29 15:46:00,,2010-04-29 16:24:00,E 39TH AVE / N PEORIA ST,3183545.0,1706408.0,-104.8470359,39.7710857,5,511,stapleton
2010201720.0,2010201720544100,5441,0,traffic-accident,traffic-accident,2010-04-29 16:18:59,,2010-04-29 16:18:59,E 14TH AVE / N LINCOLN ST,3144516.0,1694266.0,-104.9861231,39.7384421,6,623,capitol-hill
2010201751.0,2010201751544100,5441,0,traffic-accident,traffic-accident,2010-04-29 16:37:00,,2010-04-29 16:48:59,N FEDERAL BLVD / W 38TH AVE,3133457.0,1705442.0,-105.0252388,39.7692873,1,113,highland
2010201761.0,2010201761544100,5441,0,traffic-accident,traffic-accident,2010-04-29 16:40:00,,2010-04-29 16:45:59,I25 HWYNB / W 6TH AVE,3136918.0,1689574.0,-105.0132293,39.7256765,1,123,baker
2010201868.0,2010201868540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-29 18:04:59,,2010-04-29 18:49:00,800 BLOCK N HUMBOLDT ST,3149249.0,1690947.0,-104.9693626,39.7292561,6,622,cheesman-park
2010201897.0,2010201897544100,5441,0,traffic-accident,traffic-accident,2010-04-29 18:23:00,,2010-04-29 18:23:00,E 12TH AVE / N COLUMBINE ST,3152590.0,1693114.0,-104.9574383,39.7351508,2,213,congress-park
2010201934.0,2010201934544100,5441,0,traffic-accident,traffic-accident,2010-04-29 18:56:59,,2010-04-29 18:56:59,AURARIA PKWY / 9TH ST,3138469.0,1697153.0,-105.0075692,39.7464594,1,123,auraria
2010201986.0,2010201986545500,5455,0,traf-vehicular-assault,all-other-crimes,2010-04-29 18:59:59,2010-04-29 19:30:00,2010-04-29 21:01:59,3530 W 22ND AVE,3131048.0,1698307.0,-105.0339387,39.7497348,1,121,sloan-lake
2010121299.0,2010121299544100,5441,0,traffic-accident,traffic-accident,2010-03-14 11:54:00,,2010-03-14 12:04:59,CHAMPA ST / N SPEER BLVD,3140792.0,1695655.0,-104.9993376,39.7423122,1,123,cbd
2010121373.0,2010121373544100,5441,0,traffic-accident,traffic-accident,2010-03-14 12:49:59,,2010-03-14 13:09:00,N SYRACUSE ST / E 36TH AVE,3168763.0,1704950.0,-104.8996557,39.7673632,5,511,stapleton
2010121458.0,2010121458540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-03-14 14:04:59,2010-03-14 14:04:59,2010-03-14 14:04:59,PARK AVEW / N GLOBEVILLE RD,3141978.0,1704175.0,-104.9949518,39.765683,1,112,globeville
2010121668.0,2010121668540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-03-14 15:00:00,,2010-03-14 17:03:59,3850 N PEORIA ST,3183840.0,1706012.0,-104.8459966,39.7699928,5,512,stapleton
2010121693.0,2010121693544100,5441,0,traffic-accident,traffic-accident,2010-03-14 17:04:59,,2010-03-14 17:23:00,1800 BLK W 38TH AVE,3138249.0,1705442.0,-105.008192,39.7692173,1,113,highland
2010121809.0,2010121809540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-03-14 18:56:59,,2010-03-14 19:45:59,,3133732.0,1683676.0,-105.0246657,39.7095316,4,412,athmar-park
2010122020.0,2010122020540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-03-14 20:49:59,,2010-03-14 20:49:59,500 BLK 16TH ST,3143046.0,1696397.0,-104.9913077,39.7443148,6,611,cbd
2010122058.0,2010122058544100,5441,0,traffic-accident,traffic-accident,2010-03-14 22:37:00,,2010-03-14 22:54:00,900 BLOCK W COLFAX AVE,3140766.0,1694794.0,-104.9994469,39.739949,1,123,lincoln-park
2010122239.0,2010122239540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-03-15 01:45:59,,2010-03-15 01:45:59,I25 HWYNB / S SANTA FE DR,3141677.0,1682885.0,-104.9964423,39.7072426,3,311,baker
2010122402.0,2010122402540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-03-14 16:09:59,,2010-03-15 08:45:59,E 1ST AVE / N COLORADO BLVD,3157333.0,1686820.0,-104.9407119,39.7177936,3,312,cherry-creek
2009680118.0,2009680118544100,5441,0,traffic-accident,traffic-accident,2009-12-01 11:00:00,,2009-12-01 11:44:00,N JOSEPHINE ST / E 44TH AVE,3152273.0,1708602.0,-104.958237,39.777673,2,212,elyria-swansea
2009680175.0,2009680175544100,5441,0,traffic-accident,traffic-accident,2009-12-01 12:14:59,,2009-12-01 12:49:00,6400 BLOCK LEETSDALE DR,3164937.0,1681514.0,-104.9138036,39.703096,3,322,washington-virginia-vale
2009680472.0,2009680472544100,5441,0,traffic-accident,traffic-accident,2009-12-01 15:42:00,,2009-12-01 15:55:00,I70 HWYEB / N HAVANA ST,3178234.0,1708027.0,-104.865889,39.7756333,5,511,stapleton
